Name,Role,Book,Chapter,Verse,text
Adam,First Man,Genesis,1,1,"In the beginning, God created the heavens and the earth."
Eve,First Woman,Genesis,22,5,"Abraham said to his young men, “Stay here with the donkey. The boy and I will go yonder. We will worship, and come back to you.”"
Noah,Builder of the Ark,Genesis,12,10,"There was a famine in the land. Abram went down into Egypt to live as a foreigner there, for the famine was severe in the land."
Abraham,Father of Nations,Genesis,6,15,"This is how you shall make it. The length of the ship shall be three hundred cubits, its width fifty cubits, and its height thirty cubits."
Sarah,Wife of Abraham,Genesis,28,2,"Arise, go to Paddan Aram, to the house of Bethuel your mother’s father. Take a wife from there from the daughters of Laban, your mother’s brother."
Moses,Leader of the Exodus,Exodus,2,3,"When she could no longer hide him, she took a papyrus basket for him, and coated it with tar and with pitch. She put the child in it, and laid it in the reeds by the river’s bank."
Aaron,Brother of Moses,Exodus,13,8,"You shall tell your son in that day, saying, ‘It is because of that which Yahweh did for me when I came out of Egypt.’"
David,King of Israel,1 Samuel,8,4,Then all the elders of Israel gathered themselves together and came to Samuel to Ramah.
Solomon,Wisest Man,Proverbs,12,9,"Better is he who is little know, and has a servant,
than he who honors himself, and lacks bread."
Isaiah,Prophet,Isaiah,4,6,"There will be a pavilion for a shade in the daytime from the heat, and for a refuge and for a shelter from storm and from rain."
Jeremiah,Prophet,Jeremiah,3,16,"It will come to pass, when you are multiplied and increased in the land, in those days,” says Yahweh, “they will no longer say, ‘the ark of Yahweh’s covenant!’ It will not come to mind. They won’t remember it. They won’t miss it, nor will another be made."
John the Baptist,Forerunner of Jesus,Matthew,12,5,"Or have you not read in the law, that on the Sabbath day, the priests in the temple profane the Sabbath, and are guiltless?"
Jesus Christ,Son of God,Matthew,5,10,"Blessed are those who have been persecuted for righteousness’ sake,

for theirs is the Kingdom of Heaven."
Mary,Mother of Jesus,Luke,6,15,"Matthew; Thomas; James, the son of Alphaeus; Simon, who was called the Zealot;"
Peter,Apostle,Matthew,4,2,"When he had fasted forty days and forty nights, he was hungry afterward."
Andrew,Apostle,Matthew,3,3,"For this is he who was spoken of by Isaiah the prophet, saying,
“The voice of one crying in the wilderness,
make ready the way of the Lord.
Make his paths straight.”"
James the Greater,Apostle,Matthew,5,8,"Blessed are the pure in heart,
for they shall see God."
John the Evangelist,Apostle,John,3,4,"Nicodemus said to him, “How can a man be born when he is old? Can he enter a second time into his mother’s womb, and be born?”"
Philip,Apostle,Matthew,6,9,"Pray like this: ‘Our Father in heaven, may your name be kept holy."
Thomas,Apostle,Matthew,4,6,"and said to him, “If you are the Son of God, throw yourself down, for it is written, ‘He will put his angels in charge of you.’ and,
‘On their hands they will bear you up,
so that you don’t dash your foot against a stone.’”"
James the Lesser,Apostle,Matthew,18,9,"If your eye causes you to stumble, pluck it out, and cast it from you. It is better for you to enter into life with one eye, rather than having two eyes to be cast into the Gehenna
of fire."
Jude Thaddeus,Apostle,Matthew,9,12,"When Jesus heard it, he said to them,
“Those who are healthy have no need for a physician, but those who are sick do."
Simon the Zealot,Apostle,Matthew,27,3,"Then Judas, who betrayed him, when he saw that Jesus was condemned, felt remorse, and brought back the thirty pieces of silver to the chief priests and elders,"
Bartholomew,Apostle,Matthew,6,2,"Therefore when you do merciful deeds, don’t sound a trumpet before yourself, as the hypocrites do in the synagogues and in the streets, that they may get glory from men. Most certainly I tell you, they have received their reward."
